,датасет,решение,строк затронуто,осталось
0,CESAW,план ≤ 0 (задачу не оценивали) — отношение не определено,692,61125
1,CESAW,факт ≤ 0 — невозможное значение,0,61125
2,CESAW,не распознана дата начала,841,60284
3,SiP,"дубли строк: многолюдная задача записана по строке на исполнителя, оценка и факт в них продублированы",2033,10266
4,SiP,нулевая оценка или факт,0,10266
5,SiP,нет даты выдачи оценки,0,10266
6,Renzo,нет оценки или факта,7113,10651
7,Renzo,нулевая оценка или факт,491,10160
8,Renzo,оценка > 40 помидоров (в сырых данных есть значения до 5e7) — мусор ввода,1,10159
9,Renzo,не распознана дата,0,10159
